flight_id,date,callsign,adep,name_adep,country_code_adep,ades,name_ades,country_code_ades,actual_offblock_time,arrival_time,aircraft_type,wtc,airline,flight_duration,taxiout_time,flown_distance,tow
248763780,2022-01-01,3840d84f25d3f5fcc0a1be3076bb4039,EGLL,London Heathrow,GB,EICK,Cork,IE,2022-01-01T13:46:00Z,2022-01-01T15:04:56Z,A320,M,a73f82288988b79be490c6322f4c32ed,61,18,321,54748
248760618,2022-01-01,f6f610e73002b8892a239a81321f7f1d,LEBL,Barcelona,ES,KMIA,Miami,US,2022-01-01T09:55:00Z,2022-01-01T19:37:56Z,B772,H,5543e4dc327359ffaf5b9c0e6faaf0e1,570,13,4193,185441
248753824,2022-01-01,139670936660762c230ca92556ba842b,ESSA,Stockholm Arlanda,SE,KORD,Chicago O'Hare,US,2022-01-01T09:39:00Z,2022-01-01T19:08:13Z,A333,H,8be5c854fd664bcb97fb543339f74770,554,15,3770,230396
248753852,2022-01-01,509dc61bb54fbab0e5406067c95603e2,LSZH,Zurich,CH,KPHL,Philadelphia,US,2022-01-01T11:04:00Z,2022-01-01T19:32:13Z,B788,H,5543e4dc327359ffaf5b9c0e6faaf0e1,497,11,3607,157615
248755934,2022-01-01,d0610d000dcf26b1d7bba8103ecc393d,EIDW,Dublin,IE,EGLL,London Heathrow,GB,2022-01-01T12:36:00Z,2022-01-01T13:44:32Z,A21N,M,a73f82288988b79be490c6322f4c32ed,55,14,305,70318.4472256258
248762583,2022-01-01,e6d5d070016d21108f8bd2bd643202ac,ENGM,Oslo,NO,LEAL,Alicante,ES,2022-01-01T10:24:52Z,2022-01-01T14:25:33Z,A20N,M,8be5c854fd664bcb97fb543339f74770,214,27,1434,57721
248758528,2022-01-01,1f51e76bb1001c4f9de991288aacb326,EGAC,Belfast City,GB,EGLL,London Heathrow,GB,2022-01-01T07:41:00Z,2022-01-01T08:48:19Z,A320,M,a73f82288988b79be490c6322f4c32ed,57,10,295,56818
248752667,2022-01-01,52d1b50f92590b36489a929375be10f6,LTFM,iGA Istanbul,TR,LYBE,Belgrade,RS,2022-01-01T05:21:00Z,2022-01-01T07:05:28Z,B738,M,6351ec1b849adacc0cbb3b1313d8d39b,79,25,458,60678
248762188,2022-01-01,256265f000acb4a06cd680b3df7c9897,KLAX,Los Angeles,US,LTFM,iGA Istanbul,TR,2022-01-01T21:26:00Z,2022-01-02T09:55:00Z,B789,H,6351ec1b849adacc0cbb3b1313d8d39b,739,10,6354,235632
248753189,2022-01-01,8191fa049d6f1a6cb432a98d97bf960c,LTFM,iGA Istanbul,TR,LTAC,Ankara,TR,2022-01-01T15:00:00Z,2022-01-01T16:09:00Z,A321,M,6351ec1b849adacc0cbb3b1313d8d39b,44,25,257,73571
248753633,2022-01-01,9dbac4d61a4c3178948c0df9b4437643,LOWW,Vienna,AT,EDDM,Munich,DE,2022-01-01T05:58:00Z,2022-01-01T06:51:46Z,A320,M,5d407cb11cc29578cc3e292e743f5393,41,13,200,56791
248754253,2022-01-01,b82d5d608896f78826fe00e6fb510cec,LSZH,Zurich,CH,ESGG,Gothenburg,SE,2022-01-01T16:28:00Z,2022-01-01T18:20:04Z,A320,M,2d5def0a5a844b343ba1b7cc9cb28fa9,103,9,689,60826
248755912,2022-01-01,7c087bdbb4db940cf965efd4bc20ed92,ESSA,Stockholm Arlanda,SE,ESMS,Malmo,SE,2022-01-01T12:23:00Z,2022-01-01T13:26:42Z,CRJ9,M,8be5c854fd664bcb97fb543339f74770,49,15,296,31865
248754226,2022-01-01,871e3805cbe8e5a0ebc61a7021938500,LSGG,Geneva,CH,EKCH,Copenhagen,DK,2022-01-01T16:19:00Z,2022-01-01T18:11:29Z,A20N,M,8be5c854fd664bcb97fb543339f74770,99,13,671,56828
248754238,2022-01-01,6b73a2e94f26ee2be7fae1385f7f56ce,LTAT,Malatya,TR,LTAC,Ankara,TR,2022-01-01T16:23:00Z,2022-01-01T17:16:00Z,B738,M,6351ec1b849adacc0cbb3b1313d8d39b,48,5,273,52862
248754811,2022-01-01,74b9796fae819405cc08bc5a3beadfdf,LEAL,Alicante,ES,EGFF,Cardiff,GB,2022-01-01T10:25:00Z,2022-01-01T12:37:35Z,B738,M,3922524069809ac4326134429751e26f,122,11,873,64807
248754389,2022-01-01,6749e723f22c0e5bba36a55354f36d9f,EGKK,London Gatwick,GB,EIDW,Dublin,IE,2022-01-01T19:39:00Z,2022-01-01T20:46:31Z,A320,M,a73f82288988b79be490c6322f4c32ed,48,20,268,51730
248753480,2022-01-01,c5f6afe8746fa6de407eebc988fb8258,KMIA,Miami,US,LEBL,Barcelona,ES,2022-01-01T21:11:00Z,2022-01-02T05:33:47Z,B772,H,5543e4dc327359ffaf5b9c0e6faaf0e1,493,10,4140,178509
248753578,2022-01-01,4baa4dd7b3b212b373736a9bb4cfb255,LTFM,iGA Istanbul,TR,LOWS,Salzburg,AT,2022-01-01T04:44:00Z,2022-01-01T07:24:24Z,A319,M,6351ec1b849adacc0cbb3b1313d8d39b,135,25,812,60728
248754113,2022-01-01,545087f9c755335984cb9c8bf2cf6170,LTFM,iGA Istanbul,TR,LIPZ,Venice,IT,2022-01-01T14:02:00Z,2022-01-01T16:36:08Z,A21N,M,6351ec1b849adacc0cbb3b1313d8d39b,129,25,791,64707
248754724,2022-01-01,a3649f60035d4b273c5350441701c928,ESSA,Stockholm Arlanda,SE,EKCH,Copenhagen,DK,2022-01-01T08:51:42Z,2022-01-01T09:57:25Z,A20N,M,8be5c854fd664bcb97fb543339f74770,51,15,302,60813
248754826,2022-01-01,d64aa24ea58cecde1c8b5bd88160b785,LSGG,Geneva,CH,KJFK,New York JFK,US,2022-01-01T10:57:00Z,2022-01-01T19:30:13Z,A333,H,2d5def0a5a844b343ba1b7cc9cb28fa9,500,13,3410,205441
248755492,2022-01-01,095704248843decea6c7b6e7afc16976,LTFM,iGA Istanbul,TR,LLBG,Tel Aviv,IL,2022-01-01T04:46:00Z,2022-01-01T06:48:00Z,A21N,M,6351ec1b849adacc0cbb3b1313d8d39b,97,25,650,70707
248753751,2022-01-01,d1a95c2c0a43c34472b5559c55bab3c2,EGPF,Glasgow,GB,EIDW,Dublin,IE,2022-01-01T08:21:00Z,2022-01-01T09:12:08Z,A320,M,a73f82288988b79be490c6322f4c32ed,40,11,173,50809
248753757,2022-01-01,1210e1b896147b7414e8f45fcdff9a1e,LEBL,Barcelona,ES,LSZH,Zurich,CH,2022-01-01T08:24:00Z,2022-01-01T10:26:54Z,A320,M,2d5def0a5a844b343ba1b7cc9cb28fa9,112,11,614,60809
248754484,2022-01-01,1104b47ca1b186d446583663049a4997,KCLT,Charlotte,US,EGLL,London Heathrow,GB,2022-01-01T23:31:00Z,2022-01-02T06:41:19Z,B772,H,5543e4dc327359ffaf5b9c0e6faaf0e1,420,10,3574,185509
248764311,2022-01-01,5982efb266a61fd05e8af4e983681dd9,EKCH,Copenhagen,DK,ESSA,Stockholm Arlanda,SE,2022-01-01T07:03:00Z,2022-01-01T08:10:31Z,A20N,M,8be5c854fd664bcb97fb543339f74770,58,10,315,53851
248764364,2022-01-01,7c5483207ec0ba034865c56c48bfe26e,LTFJ,Istanbul Sabiha Gokcen,TR,EDDS,Stuttgart,DE,2022-01-01T08:19:00Z,2022-01-01T11:14:00Z,B738,M,6351ec1b849adacc0cbb3b1313d8d39b,160,15,995,70770
248764369,2022-01-01,e55a172b6484d4912bc42fa67e929e30,EDDF,Frankfurt,DE,EKCH,Copenhagen,DK,2022-01-01T08:25:00Z,2022-01-01T09:43:15Z,CRJ9,M,8be5c854fd664bcb97fb543339f74770,68,10,415,30892
248762374,2022-01-01,2b6964568301fda9ce7698d2a0c26800,LTFM,iGA Istanbul,TR,EGPH,Edinburgh,GB,2022-01-01T06:22:00Z,2022-01-01T10:58:25Z,A21N,M,6351ec1b849adacc0cbb3b1313d8d39b,251,25,1571,77707
